station_id,station_name,station_description,station_latitude,station_longitude
463,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857
512,Ensjø T-bane,langs Ensjøveien,59.9131891,10.7897605
450,Elisenberg,ved holdeplassen,59.919524,10.70884
484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2337,Universitetsgata,Hjørnet av Universitetsgata and Kristian IVs Gate,59.91591543378553,10.73783499027732
583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728
427,Briskeby,ved Uranienborg skole,59.920218,10.717978
440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135
561,Kirkeveien,ved Gørbitz' gate,59.93347989334691,10.726294394131088
428,Olav Kyrres plass,ved den sveitsiske ambassade,59.9193337,10.6968953
586,Københavngata busstopp,ved Fagerheim tennisklubb,59.9294565845173,10.769121495700826
588,Meltzers gate,langs Skovveien,59.9180141,10.7184345
447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167
536,Diakonhjemmet,Diakonveien nær rundkjøring,59.9363277,10.7054333
519,Thomas Heftyes plass,ved Bygdøy allé,59.91857814333677,10.703899530059402
522,Mandalls gate,ved Grønlandsleiret,59.9123469,10.7638147
596,Idioten,langs Ullevålsveien,59.93102013218461,10.736036647971048
479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
584,Henrik Wergelands allé,ved Bogstadveien,59.9268942,10.7207894
626,Drammensveien,ved Ingar Nilsens vei,59.9204038,10.691147
483,Hausmanns gate,ved Røde Kors,59.915451,10.758328
563,Huitfeldts gate,ved Observatoriegata,59.9126844,10.7229003
572,Skøyen,under broen,59.92226850808104,10.679579749668129
569,Botanisk hage sør-vest,ved Sars' gate,59.91783548782385,10.766373769557958
503,Fagerheimgata,ved Dælenenga busstopp,59.92760586837719,10.76598469881135
735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541
476,Edvard Storms gate,ved Pilestredet,59.919111,10.736179
398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117
418,Norsk Folkemuseum,utenfor inngangen,59.907674,10.686843
610,Sotahjørnet,ved Strømsveien,59.9099822,10.7914482
436,Vestkanttorvet,langs Tidemands gate,59.9244031,10.7130691
402,Lørenveien,sør for Lørenparken,59.93087712510462,10.791823716034967
570,Frøen T-bane,langs Slemdalsveien,59.9347352,10.7096985
424,Birkelunden,langs Seilduksgata,59.9256113,10.760926
481,Rådhusgata,ved Kontraskjæret trikkestopp,59.910924,10.736215
382,Stensgata,ved trikkestoppet,59.92958561753996,10.732839000000013
595,Skarpsnoparken,langs Drammensveien,59.914871,10.701037
404,Oslo Handelsgymnasium,ved Solligata,59.914306,10.720202
514,Sofienberggata,ved Sars gate,59.9212063,10.7699892
2330,Stjerneplassen,Krysset Skippergata Storgata,59.91323316606503,10.749958763650312
401,Lille Schous plass,lengst vekk fra rundkjøring,59.920259,10.760629
439,Mølleparken,ved Sannerbrua,59.9283928,10.7559693
582,Stavangergata,ved Uelands gate,59.94114763297182,10.750775120272449
468,Skillebekk,langs Drammensveien,59.912793405455375,10.710103028570302
442,Vulkan,ved Maridalsveien,59.92251,10.75101
748,Hydroparken,langs Drammensveien,59.914145,10.715505
2332,Krohgstøtten hospital,Hjørnet av Hausmannsgata and Storgata,59.91629601075576,10.757376666842816
408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
444,AHO,langs Maridalsveien,59.925265,10.750462
621,Torshovdalen øst,ved Mailundveien rundkjøring,59.93285662158759,10.777633472422016
435,Fram-gården,langs Bygdøy Allé,59.915424,10.714577
600,Dyvekes bru,ved skatepark,59.905323,10.7689579
620,Bislettgata,ved Sofies Gate,59.92377440938114,10.734712874574
410,Landstads gate,langs Uelands gate,59.929005,10.7496755
521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939
568,Frognerveien,ved Vestheimgata,59.9170851,10.7128796
505,Marienlystparken,langs Kirkeveien,59.93215,10.723478
421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819611
480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
391,St. Hanshaugen park vest,ved busstoppet Colletts gate,59.9268706,10.7384634
585,Nordre gate,ved Grünerbrua,59.92114988507087,10.754714015938562
400,OsloMet,langs Pilestredet,59.919927,10.735428
590,Majorstua skole,langs Bogstadveien,59.9294351,10.7136816
385,Søndre gate,ved Ankerbrua,59.918632,10.757867
493,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858
579,Bogstadveien,ved Sporveisgata,59.924732,10.724628
412,Jakob kirke,langs Torggata,59.917866,10.754898
497,Sirkustomta,langs Finnmarksgata,59.919252,10.774712
603,Frogner plass,i rundkjøringen,59.9225392,10.7045406
417,Uranienborgparken,langs Holtegata,59.922485,10.720896
431,Chr. Michelsens Gate,ved Fjellgata,59.927292,10.773185
622,Pilestredet 63,ved trikkestoppet,59.9238826,10.7313627
390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745
426,Gimle Kino,ved Frogner Kirke,59.91728078292675,10.708375798767436
507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006
389,Pilestredet Studenthus,ved Stensberggata,59.9205528,10.7342854
423,Schous plass,nærmest rundkjøringen,59.920335,10.760804
551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182
384,Vår Frelsers gravlund,langs Ullevålsveien,59.91944043984847,10.7437646218726
530,Holbergs plass,ved Welhavens gate,59.9193095,10.7343051
593,Bjølsen mølle,langs Sandakerveien,59.9392403070359,10.768771317790996
2308,Gunerius,utenfor Storgata 33,59.91459878869395,10.753398500006654
605,Økernveien,ved Ensjøveien bussholdeplass,59.9167376,10.779916
